t,E_sum_sq,rel_drift
4.585999999999999943e+01,1.546561361194352391e-01,-5.385136742453836556e-01
4.586200000000000188e+01,1.547492718937329426e-01,-5.382357616623112406e-01
4.586400000000000432e+01,1.548424025654853153e-01,-5.379578643049838238e-01
4.586599999999999966e+01,1.549357047039331969e-01,-5.376794552994458298e-01
4.586800000000000210e+01,1.550293748368409275e-01,-5.373999482164862895e-01
4.586999999999999744e+01,1.551236287346797194e-01,-5.371186992076006916e-01
4.587199999999999989e+01,1.552187006451307139e-01,-5.368350092891960301e-01
4.587400000000000233e+01,1.553148424797710370e-01,-5.365481267694800493e-01
4.587599999999999767e+01,1.554123229549055352e-01,-5.362572498121772613e-01
4.587800000000000011e+01,1.555114266885987695e-01,-5.359615291309406393e-01
4.588000000000000256e+01,1.556124532560523854e-01,-5.356600708080599960e-01
4.588199999999999790e+01,1.557157162055563537e-01,-5.353519392308145886e-01
4.588400000000000034e+01,1.558215420373236237e-01,-5.350361601385805743e-01
4.588600000000000279e+01,1.559302691475919211e-01,-5.347117237735800055e-01
4.588799999999999812e+01,1.560422467404456448e-01,-5.343775881279499984e-01
4.589000000000000057e+01,1.561578337098770697e-01,-5.340326822796179762e-01
4.589200000000000301e+01,1.562773974946630728e-01,-5.336759098092932474e-01
4.589399999999999835e+01,1.564013129086905818e-01,-5.333061522907182050e-01
4.589600000000000080e+01,1.565299609494082700e-01,-5.329222728461905367e-01
4.589800000000000324e+01,1.566637275871292090e-01,-5.325231197592240617e-01
4.589999999999999858e+01,1.568030025379426318e-01,-5.321075301361203325e-01
4.590200000000000102e+01,1.569481780230264634e-01,-5.316743336081194427e-01
4.590400000000000347e+01,1.570996475171773932e-01,-5.312223560657240995e-01
4.590599999999999881e+01,1.572578044893941096e-01,-5.307504234167381707e-01
4.590800000000000125e+01,1.574230411383649997e-01,-5.302573653595092917e-01
4.591000000000000369e+01,1.575957471257178333e-01,-5.297420191628492425e-01
4.591199999999999903e+01,1.577763083098921992e-01,-5.292032334440971431e-01
4.591400000000000148e+01,1.579651054834916302e-01,-5.286398719367982890e-01
4.591600000000000392e+01,1.581625131169622500e-01,-5.280508172395057542e-01
4.591799999999999926e+01,1.583688981114302063e-01,-5.274349745372520770e-01
4.592000000000000171e+01,1.585846185635086947e-01,-5.267912752873048499e-01
4.592200000000000415e+01,1.588100225448576541e-01,-5.261186808609003007e-01
4.592399999999999949e+01,1.590454468992482939e-01,-5.254161861327442118e-01
4.592600000000000193e+01,1.592912160598454752e-01,-5.246828230101830970e-01
4.592800000000000438e+01,1.595476408893772013e-01,-5.239176638940813424e-01
4.592999999999999972e+01,1.598150175458120104e-01,-5.231198250635847868e-01
4.593200000000000216e+01,1.600936263761106870e-01,-5.222884699771106476e-01
4.593399999999999750e+01,1.603837308405589857e-01,-5.214228124820865506e-01
4.593599999999999994e+01,1.606855764701232425e-01,-5.205221199261499399e-01
4.593800000000000239e+01,1.609993898592025907e-01,-5.195857161627260856e-01
4.593999999999999773e+01,1.613253776960751895e-01,-5.186129844441290659e-01
4.594200000000000017e+01,1.616637258332593863e-01,-5.176033701955584654e-01
4.594400000000000261e+01,1.620145983999256023e-01,-5.165563836636187789e-01
4.594599999999999795e+01,1.623781369584080259e-01,-5.154716024332469670e-01
