t,projection
1.26000000,4.9917290901e-01
1.26250000,4.9868301909e-01
1.26500000,4.9695629187e-01
1.26750000,4.9399700998e-01
1.27000000,4.8981251305e-01
1.27250000,4.8441317951e-01
1.27500000,4.7781240082e-01
1.27750000,4.7002654828e-01
1.28000000,4.6107493242e-01
1.28250000,4.5097975510e-01
1.28500000,4.3976605447e-01
1.28750000,4.2746164282e-01
1.29000000,4.1409703764e-01
1.29250000,3.9970538592e-01
1.29500000,3.8432238196e-01
1.29750000,3.6798617878e-01
1.30000000,3.5073729356e-01
1.30250000,3.3261850712e-01
1.30500000,3.1367475779e-01
1.30750000,2.9395303001e-01
1.31000000,2.7350223776e-01
1.31250000,2.5237310323e-01
1.31500000,2.3061803106e-01
1.31750000,2.0829097836e-01
1.32000000,1.8544732082e-01
1.32250000,1.6214371548e-01
1.32500000,1.3843796009e-01
1.32750000,1.1438884984e-01
1.33000000,9.0056031531e-02
1.33250000,6.5499855584e-02
1.33500000,4.0781226410e-02
1.33750000,1.5961451337e-02
1.34000000,-8.8979114448e-03
1.34250000,-3.3735205561e-02
1.34500000,-5.8488829372e-02
1.34750000,-8.3097388755e-02
1.35000000,-1.0749984938e-01
1.35250000,-1.3163568809e-01
1.35500000,-1.5544504298e-01
1.35750000,-1.7886886194e-01
1.36000000,-2.0184904902e-01
1.36250000,-2.2432860859e-01
1.36500000,-2.4625178670e-01
1.36750000,-2.6756420930e-01
1.37000000,-2.8821301717e-01
1.37250000,-3.0814699699e-01
1.37500000,-3.2731670835e-01
1.37750000,-3.4567460639e-01
1.38000000,-3.6317515971e-01
1.38250000,-3.7977496332e-01
1.38500000,-3.9543284626e-01
1.38750000,-4.1010997373e-01
1.39000000,-4.2376994342e-01
1.39250000,-4.3637887575e-01
1.39500000,-4.4790549798e-01
1.39750000,-4.5832122168e-01
1.40000000,-4.6760021369e-01
1.40250000,-4.7571946020e-01
1.40500000,-4.8265882379e-01
1.40750000,-4.8840109340e-01
1.41000000,-4.9293202700e-01
1.41250000,-4.9624038695e-01
1.41500000,-4.9831796782e-01
1.41750000,-4.9915961679e-01
1.42000000,-4.9876324639e-01
1.42250000,-4.9712983969e-01
1.42500000,-4.9426344789e-01
1.42750000,-4.9017118024e-01
1.43000000,-4.8486318640e-01
1.43250000,-4.7835263130e-01
1.43500000,-4.7065566248e-01
1.43750000,-4.6179137000e-01
1.44000000,-4.5178173915e-01
1.44250000,-4.4065159589e-01
1.44500000,-4.2842854528e-01
1.44750000,-4.1514290303e-01
1.45000000,-4.0082762029e-01
1.45250000,-3.8551820192e-01
1.45500000,-3.6925261845e-01
1.45750000,-3.5207121192e-01
1.46000000,-3.3401659576e-01
1.46250000,-3.1513354917e-01
1.46500000,-2.9546890602e-01
1.46750000,-2.7507143871e-01
1.47000000,-2.5399173718e-01
1.47250000,-2.3228208347e-01
1.47500000,-2.0999632202e-01
1.47750000,-1.8718972613e-01
1.48000000,-1.6391886091e-01
1.48250000,-1.4024144292e-01
1.48500000,-1.1621619706e-01
1.48750000,-9.1902710931e-02
1.49000000,-6.7361287020e-02
1.49250000,-4.2652793146e-02
1.49500000,-1.7838511501e-02
1.49750000,7.0200133535e-03
1.50000000,3.1861127118e-02
1.50250000,5.6623218680e-02
1.50500000,8.1244872917e-02
1.50750000,1.0566502302e-01
1.51000000,1.2982310195e-01
1.51250000,1.5365919266e-01
1.51500000,1.7711417671e-01
1.51750000,2.0012988087e-01
1.52000000,2.2264922142e-01
1.52250000,2.4461634573e-01
1.52500000,2.6597677076e-01
1.52750000,2.8667751824e-01
1.53000000,3.0666724603e-01
1.53250000,3.2589637544e-01
1.53500000,3.4431721426e-01
1.53750000,3.6188407497e-01
1.54000000,3.7855338813e-01
1.54250000,3.9428381037e-01
1.54500000,4.0903632700e-01
1.54750000,4.2277434870e-01
1.55000000,4.3546380234e-01
1.55250000,4.4707321544e-01
1.55500000,4.5757379425e-01
1.55750000,4.6693949514e-01
1.56000000,4.7514708926e-01
1.56250000,4.8217622004e-01
1.56500000,4.8800945381e-01
1.56750000,4.9263232292e-01
1.57000000,4.9603336170e-01
1.57250000,4.9820413487e-01
1.57500000,4.9913925847e-01
1.57750000,4.9883641318e-01
1.58000000,4.9729635014e-01
1.58250000,4.9452288901e-01
1.58500000,4.9052290856e-01
1.58750000,4.8530632957e-01
1.59000000,4.7888609023e-01
1.59250000,4.7127811407e-01
1.59500000,4.6250127045e-01
1.59750000,4.5257732776e-01
1.60000000,4.4153089944e-01
1.60250000,4.2938938291e-01
1.60500000,4.1618289167e-01
1.60750000,4.0194418054e-01
1.61000000,3.8670856448e-01
1.61250000,3.7051383099e-01
1.61500000,3.5340014635e-01
1.61750000,3.3540995605e-01
1.62000000,3.1658787951e-01
1.62250000,2.9698059936e-01
1.62500000,2.7663674574e-01
1.62750000,2.5560677562e-01
1.63000000,2.3394284768e-01
1.63250000,2.1169869297e-01
1.63500000,1.8892948159e-01
1.63750000,1.6569168591e-01
1.64000000,1.4204294049e-01
1.64250000,1.1804189912e-01
1.64500000,9.3748089355e-02
1.64750000,6.9221764889e-02
1.65000000,4.4523756090e-02
1.65250000,1.9715319142e-02
1.65500000,-5.1420158867e-03
1.65750000,-2.9986597649e-02
1.66000000,-5.4756806431e-02
1.66250000,-7.9391206976e-02
1.66500000,-1.0382870086e-01
1.66750000,-1.2800867804e-01
1.67000000,-1.5187116715e-01
1.67250000,-1.7535698426e-01
1.67500000,-1.9840787969e-01
1.67750000,-2.2096668242e-01
1.68000000,-2.4297744196e-01
1.68250000,-2.6438556705e-01
1.68500000,-2.8513796111e-01
1.68750000,-3.0518315388e-01
1.69000000,-3.2447142914e-01
1.69250000,-3.4295494797e-01
1.69500000,-3.6058786739e-01
1.69750000,-3.7732645413e-01
1.70000000,-3.9312919300e-01
1.70250000,-4.0795688994e-01
1.70500000,-4.2177276919e-01
1.70750000,-4.3454256450e-01
1.71000000,-4.4623460413e-01
1.71250000,-4.5681988940e-01
1.71500000,-4.6627216660e-01
1.71750000,-4.7456799212e-01
1.72000000,-4.8168679061e-01
1.72250000,-4.8761090596e-01
1.72500000,-4.9232564513e-01
1.72750000,-4.9581931460e-01
1.73000000,-4.9808324934e-01
1.73250000,-4.9911183432e-01
1.73500000,-4.9890251845e-01
1.73750000,-4.9745582086e-01
1.74000000,-4.9477532967e-01
1.74250000,-4.9086769304e-01
1.74500000,-4.8574260274e-01
1.74750000,-4.7941277005e-01
1.75000000,-4.7189389425e-01
1.75250000,-4.6320462374e-01
1.75500000,-4.5336650969e-01
1.75750000,-4.4240395267e-01
1.76000000,-4.3034414210e-01
1.76250000,-4.1721698881e-01
1.76500000,-4.0305505086e-01
1.76750000,-3.8789345280e-01
1.77000000,-3.7176979852e-01
1.77250000,-3.5472407804e-01
1.77500000,-3.3679856829e-01
1.77750000,-3.1803772823e-01
1.78000000,-2.9848808865e-01
1.78250000,-2.7819813671e-01
1.78500000,-2.5721819569e-01
1.78750000,-2.3560030020e-01
1.79000000,-2.1339806711e-01
1.79250000,-1.9066656255e-01
1.79500000,-1.6746216538e-01
1.79750000,-1.4384242730e-01
1.80000000,-1.1986593017e-01
1.80250000,-9.5592140681e-02
1.80500000,-7.1081262854e-02
1.80750000,-4.6394088754e-02
1.81000000,-2.1591847692e-02
1.81250000,3.2639456296e-03
