x,chi
3.330000e+01,2.300800e-02
3.335000e+01,2.302700e-02
3.340000e+01,2.304700e-02
3.345000e+01,2.306600e-02
3.350000e+01,2.308600e-02
3.355000e+01,2.310500e-02
3.360000e+01,2.312500e-02
3.365000e+01,2.314500e-02
3.370000e+01,2.316400e-02
3.375000e+01,2.318400e-02
3.380000e+01,2.320300e-02
3.385000e+01,2.322300e-02
3.390000e+01,2.324200e-02
3.395000e+01,2.326200e-02
3.400000e+01,2.328100e-02
3.405000e+01,2.330100e-02
3.410000e+01,2.332000e-02
3.415000e+01,2.334000e-02
3.420000e+01,2.335900e-02
3.425000e+01,2.337900e-02
3.430000e+01,2.339800e-02
3.435000e+01,2.341800e-02
3.440000e+01,2.343800e-02
3.445000e+01,2.345700e-02
3.450000e+01,2.347700e-02
3.455000e+01,2.349600e-02
3.460000e+01,2.351600e-02
3.465000e+01,2.353500e-02
3.470000e+01,2.355500e-02
3.475000e+01,2.357400e-02
3.480000e+01,2.359400e-02
3.485000e+01,2.361300e-02
3.490000e+01,2.363300e-02
3.495000e+01,2.365200e-02
3.500000e+01,2.367200e-02
3.505000e+01,2.369100e-02
3.510000e+01,2.371100e-02
3.515000e+01,2.373000e-02
3.520000e+01,2.375000e-02
3.525000e+01,2.377000e-02
3.530000e+01,2.378900e-02
3.535000e+01,2.380900e-02
3.540000e+01,2.382800e-02
3.545000e+01,2.384800e-02
3.550000e+01,2.386700e-02
3.555000e+01,2.388700e-02
3.560000e+01,2.390600e-02
3.565000e+01,2.392600e-02
3.570000e+01,2.394500e-02
3.575000e+01,2.396500e-02
3.580000e+01,2.398400e-02
3.585000e+01,2.400400e-02
3.590000e+01,2.402300e-02
3.595000e+01,2.404300e-02
3.600000e+01,2.406200e-02
3.605000e+01,2.408200e-02
3.610000e+01,2.410200e-02
3.615000e+01,2.412100e-02
3.620000e+01,2.414100e-02
3.625000e+01,2.416000e-02
3.630000e+01,2.418000e-02
3.635000e+01,2.419900e-02
3.640000e+01,2.421900e-02
3.645000e+01,2.423800e-02
3.650000e+01,2.425800e-02
3.655000e+01,2.427700e-02
3.660000e+01,2.429700e-02
3.665000e+01,2.431600e-02
3.670000e+01,2.433600e-02
3.675000e+01,2.435500e-02
