lag,normalized_autocorr
-2.386000000000000000e+04,-5.874755218532561572e-03
-2.385900000000000000e+04,-5.916420149160451711e-03
-2.385800000000000000e+04,-5.958085079788341849e-03
-2.385700000000000000e+04,-5.999750010416234590e-03
-2.385600000000000000e+04,-6.041414941044124728e-03
-2.385500000000000000e+04,-6.083079871672014867e-03
-2.385400000000000000e+04,-6.124744802299905005e-03
-2.385300000000000000e+04,-6.166409732927796011e-03
-2.385200000000000000e+04,-6.208074663555686150e-03
-2.385100000000000000e+04,-6.249739594183576288e-03
-2.385000000000000000e+04,-6.291404524811467294e-03
-2.384900000000000000e+04,-6.333069455439357433e-03
-2.384800000000000000e+04,-6.374734386067247571e-03
-2.384700000000000000e+04,-6.416399316695137710e-03
-2.384600000000000000e+04,-6.458064247323028716e-03
-2.384500000000000000e+04,-6.499729177950918854e-03
-2.384400000000000000e+04,-6.541394108578808993e-03
-2.384300000000000000e+04,-6.583059039206699999e-03
-2.384200000000000000e+04,-6.624723969834590137e-03
-2.384100000000000000e+04,-6.666388900462482878e-03
-2.384000000000000000e+04,-6.708053831090373016e-03
-2.383900000000000000e+04,-6.749718761718264022e-03
-2.383800000000000000e+04,-6.791383692346154161e-03
-2.383700000000000000e+04,-6.833048622974044299e-03
-2.383600000000000000e+04,-6.874713553601935305e-03
-2.383500000000000000e+04,-6.916378484229825443e-03
-2.383400000000000000e+04,-6.958043414857715582e-03
-2.383300000000000000e+04,-6.999708345485605721e-03
-2.383200000000000000e+04,-7.041373276113496726e-03
-2.383100000000000000e+04,-7.083038206741386865e-03
-2.383000000000000000e+04,-7.124703137369277003e-03
-2.382900000000000000e+04,-7.166368067997168009e-03
-2.382800000000000000e+04,-7.208032998625058148e-03
-2.382700000000000000e+04,-7.249697929252948286e-03
-2.382600000000000000e+04,-7.291362859880838425e-03
-2.382500000000000000e+04,-7.333027790508731165e-03
-2.382400000000000000e+04,-7.374692721136621304e-03
-2.382300000000000000e+04,-7.416357651764511442e-03
-2.382200000000000000e+04,-7.458022582392402448e-03
-2.382100000000000000e+04,-7.499687513020292587e-03
-2.382000000000000000e+04,-7.541352443648182725e-03
-2.381900000000000000e+04,-7.583017374276072864e-03
-2.381800000000000000e+04,-7.624682304903963870e-03
-2.381700000000000000e+04,-7.666347235531854008e-03
-2.381600000000000000e+04,-7.708012166159744147e-03
