step,time,kinetic,gradient,potential,total
18480,3.69620000e+00,2.7805846748e+00,2.6608090588e+00,0.0000000000e+00,5.4413937336e+00
18720,3.74420000e+00,3.0693694490e+00,2.4091216229e+00,0.0000000000e+00,5.4784910719e+00
18960,3.79220000e+00,3.1504509255e+00,2.3142014639e+00,0.0000000000e+00,5.4646523895e+00
19200,3.84020000e+00,3.0633940652e+00,2.4118876441e+00,0.0000000000e+00,5.4752817092e+00
19440,3.88820000e+00,3.0730987884e+00,2.4049440690e+00,0.0000000000e+00,5.4780428573e+00
19680,3.93620000e+00,2.5029314848e+00,2.9001425970e+00,0.0000000000e+00,5.4030740817e+00
19920,3.98420000e+00,3.4836516157e+00,2.0374811958e+00,0.0000000000e+00,5.5211328114e+00
20160,4.03220000e+00,2.9675133711e+00,2.5025971558e+00,0.0000000000e+00,5.4701105269e+00
20400,4.08020000e+00,2.7732280943e+00,2.6917685930e+00,0.0000000000e+00,5.4649966873e+00
20640,4.12820000e+00,2.1426850556e+00,3.2310092890e+00,0.0000000000e+00,5.3736943446e+00
20880,4.17620000e+00,3.0708261656e+00,2.4280074684e+00,0.0000000000e+00,5.4988336339e+00
21120,4.22420000e+00,3.8338437881e+00,1.7206147359e+00,0.0000000000e+00,5.5544585239e+00
21360,4.27220000e+00,3.2207187845e+00,2.2462409006e+00,0.0000000000e+00,5.4669596851e+00
21600,4.32020000e+00,2.8864321298e+00,2.5842019456e+00,0.0000000000e+00,5.4706340754e+00
21840,4.36820000e+00,2.1300283778e+00,3.2427985655e+00,0.0000000000e+00,5.3728269433e+00
22080,4.41620000e+00,3.9354285996e+00,1.6448211131e+00,0.0000000000e+00,5.5802497127e+00
22320,4.46420000e+00,2.2782553306e+00,3.0516287830e+00,0.0000000000e+00,5.3298841136e+00
22560,4.51220000e+00,3.8563017408e+00,1.7748973708e+00,0.0000000000e+00,5.6311991116e+00
22800,4.56020000e+00,2.0606616023e+00,3.2896790364e+00,0.0000000000e+00,5.3503406387e+00
23040,4.60820000e+00,2.2824859540e+00,3.1052427719e+00,0.0000000000e+00,5.3877287259e+00
23280,4.65620000e+00,3.1639081142e+00,2.3461835466e+00,0.0000000000e+00,5.5100916608e+00
23520,4.70420000e+00,3.0946870796e+00,2.3959832105e+00,0.0000000000e+00,5.4906702901e+00
23760,4.75220000e+00,2.5332038337e+00,2.8666832801e+00,0.0000000000e+00,5.3998871138e+00
