x_position,intensity_no_detector,intensity_with_detector,intensity_slit1,intensity_slit2
48.08,0.001046314056572287,0.003916448417362679,0.0027877612015269893,0.0011286872158356898
48.160000000000004,0.0010563200487763557,0.003952596689541472,0.002813952472856046,0.0011386442166854255
48.24,0.001066430396915431,0.003989104550978097,0.0028404103391424843,0.0011486942118356129
48.32,0.0010766463145811132,0.004025975937852874,0.002867137803041129,0.001158838134811745
48.4,0.0010869690314224167,0.004063214834776932,0.00289413790539706,0.0011690769293798723
48.480000000000004,0.0010973997933906336,0.0041008252754736055,0.002921413725802321,0.0011794115496712844
48.56,0.0011079398629885125,0.0041388113434708915,0.002948968383161998,0.0011898429603088932
48.64,0.0011185905195238508,0.00417717717280521,0.0029768050362698525,0.0012003721365353574
48.72,0.0011293530593675617,0.004215926948736592,0.003004926884393641,0.0012110000643429512
48.800000000000004,0.0011402287962163418,0.0042550649084756005,0.0030333371678703726,0.0012217277406052277
48.88,0.0011512190613599995,0.0042945953419221364,0.003062039168711651,0.0012325561732104851
48.96,0.0011623252039535679,0.004334522592416415,0.0030910362112193312,0.0012434863811970835
49.04,0.0011735485912942839,0.0043748510575022884,0.0031203316626116657,0.0012545193948906232
49.120000000000005,0.0011848906091035305,0.004415585189703185,0.0031499289336601568,0.0012656562560430283
49.2,0.0011963526618138656,0.004456729497310876,0.003179831479337334,0.0012768980179735426
49.28,0.0012079361728612144,0.004498288545187368,0.0032100427994756577,0.00128824574571171
49.36,0.0012196425849823641,0.004540266955580104,0.0032405664394377894,0.0012997005161423149
49.44,0.0012314733605178316,0.0045826694089507805,0.0032714059907984136,0.0013112634181523667
49.52,0.0012434299817202584,0.004625500644818017,0.0033025650920378963,0.0013229355527801204
49.6,0.001255513951068416,0.00466876546261415,0.003334047429247964,0.0013347180333661858
49.68,0.0012677267915869612,0.004712468722556445,0.003365856736849686,0.0013466119857067592
49.76,0.0012800700471720442,0.004756615346532976,0.003397996798323975,0.001358618548209001
49.84,0.001292545282922907,0.004801210319003481,0.00343047144695488,0.001370738872048601
49.92,0.0013051540854795898,0.0048462586879154486,0.0034632845665858946,0.0013829741213295537
50.0,0.001317898063366885,0.0048917655656358265,0.003496440092389615,0.0013953254732462117
50.08,0.0013307788473446514,0.004937736129898517,0.003529942011650915,0.0014077941182476027
50.160000000000004,0.0013437980907646664,0.0049841756247681335,0.003563794364564036,0.001420381260204097
50.24,0.0013569574699340788,0.005031089361620141,0.0035980012450437184,0.0014330881165764225
50.32,0.001370258684485712,0.005078482720137958,0.0036325668015508585,0.0014459159185871
50.4,0.0013837034577552608,0.005126361149327114,0.0036674952379328065,0.0014588659113943078
50.480000000000004,0.0013972935371655876,0.005174730168546927,0.003702790814278692,0.001471939354268235
50.56,0.0014110306946182724,0.005223595368560061,0.0037384578477901134,0.0014851375207699477
50.64,0.0014249167268925405,0.005272962412600261,0.0037745007136674277,0.0014984616989328335
50.72,0.0014389534560517703,0.005322837037458686,0.003810923846012053,0.001511913191446633
50.800000000000004,0.001453142729857702,0.005373225054589157,0.0038477317387450253,0.001525493315844131
50.88,0.0014674864221925533,0.005424132351232746,0.0038849289465422206,0.0015392034046905257
50.96,0.0014819864334892098,0.005475564891562136,0.003922520085786592,0.0015530448057755445
51.04,0.0014966446911696299,0.005527528717846009,0.003960509835537678,0.00156701888230833
51.120000000000005,0.00151146315009171,0.005580029951634061,0.00399890293851891,0.001581127013115151
51.2,0.001526443793004732,0.005633074794962898,0.004037704202122915,0.0015953705928399827
51.28,0.0015415886310136372,0.005686669531583373,0.004076918499435359,0.0016097510321480138
51.36,0.001556899704052293,0.005740820528209712,0.004116550770277602,0.0016242697579321097
51.44,0.0015723790813659438,0.005795534235790909,0.004156606022268614,0.001638928213522295
51.52,0.0015880288620031026,0.005850817190804887,0.0041970893319065875,0.0016537278588982997
51.6,0.0016038511753170223,0.0059066760165758245,0.004238005845670598,0.001668670170905226
51.68,0.0016198481814770458,0.0059631174246152115,0.004279360781142836,0.0016837566434723763
51.76,0.0016360220719899695,0.006020148215987062,0.004321159428151752,0.0016989887878353105
51.84,0.001652375070231723,0.006077775282697824,0.00436340714993665,0.0017143681327611742
51.92,0.0016689094319895623,0.006136005609111494,0.004406109384334145,0.001729896224777349
52.0,0.0016856274460150134,0.0061948462733904894,0.00444927164498698,0.001745574628403509
52.08,0.001702531434587843,0.006254304448962789,0.0044928995225756935,0.0017614049263870962
52.160000000000004,0.0017196237540912608,0.006314387406015925,0.004536998686073606,0.0017773887199423184
52.24,0.0017369067955986634,0.006375102513018356,0.0045815748840256675,0.0017935276289926887
52.32,0.0017543829854721597,0.006436457238268906,0.004626633945851706,0.0018098232924172004
52.4,0.0017720547859731372,0.006498459151474722,0.004672181783174541,0.0018262773683001814
52.480000000000004,0.0017899246958851826,0.006561115925358499,0.004718224391173617,0.001842891534184882
52.56,0.0018079952511496672,0.006624435337295492,0.004764767849964607,0.0018596674873308846
52.64,0.0018262690255141005,0.006688425270981085,0.0048118183260057006,0.0018766069449753847
52.72,0.0018447486311940016,0.0067530937181294395,0.004859382073531027,0.001893711644598412
52.800000000000004,0.0018634367195478805,0.006818448780203974,0.0049074654360119225,0.001910983344192051
52.88,0.0018823359817665719,0.006884498670180388,0.004956074847646635,0.0019284238225337534
52.96,0.0019014491495763907,0.006951251714342894,0.005005216834879103,0.001946034879463791
53.04,0.0019207789959568016,0.0070187163541144005,0.005054898017947476,0.0019638183361669246
53.120000000000005,0.0019403283358733155,0.00708690114792142,0.00510512511246305,0.001981776035458371
53.2,0.0019601000270252373,0.007155814773094389,0.005155904931020258,0.001999909842074131
53.28,0.001980096970609026,0.007225466027804342,0.005207244384838565,0.002018221642965777
53.36,0.0020003221120979972,0.00729586383303655,0.005259150485436817,0.0020367133475997327
53.44,0.002020778442037824,0.007367017234602107,0.005311630346340924,0.002055386888261183
53.52,0.0020414689968592963,0.007438935405188235,0.0053646911848255876,0.0020742442203626477
53.6,0.0020623968597078515,0.007511627646448152,0.005418340323690844,0.0020932873227573084
53.68,0.0020835651612908413,0.007585103391131547,0.005472585193074329,0.002112518198057217
53.76,0.002104977080742882,0.007659372205256334,0.0055274333322999315,0.0021319388729564024
53.84,0.0021266358465095235,0.007734443790322878,0.005582892391763869,0.0021515513985590094
53.92,0.0021485447372496637,0.0078103279855714115,0.005638970134858864,0.0021713578507125478
54.0,0.002170707082757804,0.007887034770283893,0.005695674439937547,0.002191360330346346
54.08,0.002193126264905699,0.007964574266131069,0.005753013302315787,0.002211560963815282
54.160000000000004,0.002215805718604438,0.008042956739565964,0.005810994836317038,0.0022319619032489255
54.24,0.0022387489327875608,0.008122192604264734,0.005869627277358609,0.002252565326906125
54.32,0.002261959451415419,0.008202292423616135,0.005928918984080904,0.002273373439535231
54.4,0.0022854408745013014,0.008283266913260564,0.005988878440520619,0.0022943884727399453
54.480000000000004,0.0023091968591603595,0.00836512694367995,0.006049514258328943,0.002315612685351007
54.56,0.0023332311206812183,0.008447883542839593,0.006110835179035878,0.0023370483638037133
54.64,0.00235754743362134,0.008531547898883305,0.006172850076361807,0.0023586978225214987
54.72,0.002382149632926777,0.008616131362882943,0.006235567958577371,0.002380563404305572
54.800000000000004,0.002407041615076284,0.008701645451643704,0.00629899797091292,0.002402647480730784
54.88,0.002432227339251503,0.008788101850566502,0.00636314939801867,0.0024249524525478327
54.96,0.002457710828532858,0.00887551241656883,0.006428031666476922,0.0024474807500919076
55.04,0.0024834961711221798,0.008963889181065351,0.006493654347367441,0.00247023483369791
55.120000000000005,0.0025095875215933277,0.009053244353009842,0.006560027158887502,0.0024932171941223404
55.2,0.0025359891021705444,0.009143590321999772,0.006627159969027776,0.0025164303529719963
55.28,0.0025627052040357564,0.00923493966144523,0.006695062798305594,0.0025398768631396352
55.36,0.0025897401886660846,0.009327305131803564,0.006763745822556907,0.002563559309246657
55.44,0.0026170984892011522,0.00942069968388148,0.006833219375788473,0.002587480308093008
55.52,0.002644784611842295,0.009515136462206149,0.006903493953091733,0.0026116425091144155
55.6,0.002672803137283443,0.009610628808467008,0.006974580213619951,0.002636048594847057
55.68,0.0027011587221751577,0.009707190265030136,0.007046488983630254,0.0026607012813998827
55.76,0.0027298561006226523,0.00980483457852677,0.0071192312595921335,0.002685603318934637
55.84,0.002758900085718357,0.00990357570351798,0.007192818211364162,0.0027107574921538167
55.92,0.002788295571110068,0.01000342780623726,0.007267261185440634,0.002736166620796626
56.0,0.002818047532606258,0.010104405268413122,0.007342571708269947,0.0027618335601431745
56.08,0.002848161029818524,0.010206522691173541,0.007418761489646553,0.0027877612015269893
56.160000000000004,0.002878641207842804,0.01030979489903441,0.007495842426178364,0.002813952472856046
56.24,0.002909493298980534,0.010414236943974055,0.007573826604831571,0.0028404103391424843
