step,time_s,detector_value
56,0.56,-2.78032567286106e-12
57,0.5700000000000001,-2.7799989588273614e-12
58,0.58,-2.7787442371087706e-12
59,0.59,-2.776497887112052e-12
60,0.6,-2.7731943423022563e-12
61,0.61,-2.7687660351239656e-12
62,0.62,-2.763143340620854e-12
63,0.63,-2.7562545187293945e-12
64,0.64,-2.748025655222073e-12
65,0.65,-2.73838060127502e-12
66,0.66,-2.7272409116344857e-12
67,0.67,-2.7145257813561274e-12
68,0.68,-2.7001519810905857e-12
69,0.6900000000000001,-2.6840337908883523e-12
70,0.7000000000000001,-2.6660829324964426e-12
71,0.71,-2.6462085001188905e-12
72,0.72,-2.62431688961259e-12
73,0.73,-2.6003117260895027e-12
74,0.74,-2.574093789895747e-12
75,0.75,-2.5455609409375636e-12
76,0.76,-2.5146080413236476e-12
77,0.77,-2.481126876292804e-12
78,0.78,-2.445006073395358e-12
79,0.79,-2.406131019896225e-12
80,0.8,-2.3643837783669953e-12
81,0.81,-2.3196430004338568e-12
82,0.8200000000000001,-2.2717838386476223e-12
83,0.8300000000000001,-2.220677856441575e-12
84,0.84,-2.1661929361422878e-12
85,0.85,-2.108193184998005e-12
86,0.86,-2.0465388391886072e-12
87,0.87,-1.9810861657805957e-12
88,0.88,-1.9116873625899636e-12
89,0.89,-1.838190455915219e-12
90,0.9,-1.7604391961022452e-12
91,0.91,-1.6782729509020713e-12
92,0.92,-1.591526596582036e-12
93,0.93,-1.5000304067502028e-12
94,0.9400000000000001,-1.4036099388522788e-12
95,0.9500000000000001,-1.3020859182996628e-12
96,0.96,-1.19527412018662e-12
97,0.97,-1.0829852485539513e-12
98,0.98,-9.650248131558783e-13
99,0.99,-8.411930036862288e-13
100,1.0,-7.112845614193465e-13
101,1.01,-5.750886482205e-13
102,1.02,-4.323887128798972e-13
103,1.03,-2.829623547237443e-13
104,1.04,-1.2658118445511381e-13
105,1.05,3.6989317823296506e-14
106,1.06,2.0798994745311733e-13
107,1.07,3.866679229802719e-13
108,1.08,5.732770368809469e-13
109,1.09,7.680778093042706e-13
110,1.1,9.713376448831125e-13
111,1.11,1.1833309926651305e-12
112,1.12,1.4043395092169207e-12
113,1.1300000000000001,1.634652224954849e-12
114,1.1400000000000001,1.874565713756881e-12
115,1.1500000000000001,2.124384265910466e-12
116,1.16,2.3844200644522796e-12
117,1.17,2.654993364956378e-12
118,1.18,2.936432678828081e-12
119,1.19,3.2290749601616615e-12
120,1.2,3.533265796220689e-12
121,1.21,3.849359601600652e-12
122,1.22,4.177719816134269e-12
123,1.23,4.5187191066006766e-12
124,1.24,4.8727395723004854e-12
125,1.25,5.240172954559491e-12
126,1.26,5.62142085022463e-12
127,1.27,6.016894929216573e-12
128,1.28,6.427017156204193e-12
129,1.29,6.852220016466922e-12
130,1.3,7.292946746011874e-12
131,1.31,7.749651566013436e-12
132,1.32,8.222799921643842e-12
133,1.33,8.712868725364128e-12
134,1.34,9.220346604745677e-12
135,1.35,9.745734154893439e-12
136,1.36,1.0289544195542761e-11
137,1.37,1.0852302032902619e-11
138,1.3800000000000001,1.1434545726318929e-11
139,1.3900000000000001,1.203682635983247e-11
140,1.4000000000000001,1.2659708318706831e-11
141,1.41,1.3303769571002696e-11
142,1.42,1.396960195427563e-11
143,1.43,1.4657811467475466e-11
144,1.44,1.5369018568126253e-11
145,1.45,1.6103858474866627e-11
146,1.46,1.6862981475431414e-11
147,1.47,1.7647053240156103e-11
148,1.48,1.8456755141086825e-11
149,1.49,1.9292784576779318e-11
150,1.5,2.0155855302871334e-11
151,1.51,2.1046697768513817e-11
152,1.52,2.196605945874715e-11
153,1.53,2.2914705242909655e-11
154,1.54,2.3893417729166533e-11
155,1.55,2.4902997625248245e-11
156,1.56,2.5944264105488423e-11
157,1.57,2.7018055184252216e-11
158,1.58,2.8125228095846987e-11
159,1.59,2.92666596810082e-11
160,1.6,3.044324678005428e-11
161,1.61,3.165590663280521e-11
162,1.62,3.2905577285360495e-11
163,1.6300000000000001,3.4193218003833236e-11
164,1.6400000000000001,3.551980969513778e-11
165,1.6500000000000001,3.6886355334929634e-11
166,1.6600000000000001,3.829388040279702e-11
167,1.67,3.974343332480465e-11
168,1.68,4.1236085923491035e-11
