k,|F|
-3.295898437500000000e+01,5.274131442256272090e-09
-3.271484375000000000e+01,5.370080811141377123e-09
-3.247070312500000000e+01,5.468105262996733115e-09
-3.222656250000000000e+01,5.568269932187094638e-09
-3.198242187500000000e+01,5.670642003249439233e-09
-3.173828125000000000e+01,5.775291599644988880e-09
-3.149414062500000000e+01,5.882291408935177259e-09
-3.125000000000000000e+01,5.991717123011920593e-09
-3.100585937500000000e+01,6.103647134272705445e-09
-3.076171875000000000e+01,6.218163437092418769e-09
-3.051757812500000000e+01,6.335350761256336928e-09
-3.027343750000000000e+01,6.455297802965852315e-09
-3.002929687500000000e+01,6.578096648770925030e-09
-2.978515625000000000e+01,6.703842906930357790e-09
-2.954101562500000000e+01,6.832636882090834088e-09
-2.929687500000000000e+01,6.964582443714697800e-09
-2.905273437500000000e+01,7.099788133456272125e-09
-2.880859375000000000e+01,7.238367110889179708e-09
-2.856445312500000000e+01,7.380437410974012662e-09
-2.832031250000000000e+01,7.526122195979842603e-09
-2.807617187500000000e+01,7.675550130665194237e-09
-2.783203125000000000e+01,7.828855419823742762e-09
-2.758789062500000000e+01,7.986178234950778119e-09
-2.734375000000000000e+01,8.147665690153120107e-09
-2.709960937500000000e+01,8.313470335900297774e-09
-2.685546875000000000e+01,8.483753425237435213e-09
-2.661132812500000000e+01,8.658682002066763227e-09
-2.636718750000000000e+01,8.838432209643924980e-09
-2.612304687500000000e+01,9.023187939886249913e-09
-2.587890625000000000e+01,9.213141888713286059e-09
-2.563476562500000000e+01,9.408496291377336933e-09
-2.539062500000000000e+01,9.609463114419899420e-09
-2.514648437500000000e+01,9.816264560082344817e-09
-2.490234375000000000e+01,1.002913441766110001e-08
-2.465820312500000000e+01,1.024831751150773054e-08
-2.441406250000000000e+01,1.047407164652222387e-08
-2.416992187500000000e+01,1.070666768544722898e-08
-2.392578125000000000e+01,1.094639057996556279e-08
-2.368164062500000000e+01,1.119353980459019535e-08
-2.343750000000000000e+01,1.144843130840199891e-08
-2.319335937500000000e+01,1.171139755312282679e-08
-2.294921875000000000e+01,1.198278922083569145e-08
-2.270507812500000000e+01,1.226297574315930078e-08
-2.246093750000000000e+01,1.255234743258104496e-08
