t,E_sum_sq,rel_drift
2.200000000000000178e+00,2.214325851918262700e+01,6.514950820298537305e-05
2.225000000000000089e+00,2.214375385406048125e+01,8.752052230864650387e-05
2.250000000000000000e+00,2.214420884359993380e+01,1.080694031972973928e-04
2.274999999999999911e+00,2.214462609943143079e+01,1.269141010157198214e-04
2.300000000000000266e+00,2.214500813708325566e+01,1.441682256089464749e-04
2.325000000000000178e+00,2.214535737124180059e+01,1.599408324579361244e-04
2.350000000000000089e+00,2.214567611223230870e+01,1.743362637378779241e-04
2.375000000000000000e+00,2.214596656361877081e+01,1.874540399213362406e-04
2.400000000000000355e+00,2.214623082082227867e+01,1.993887973783642874e-04
2.425000000000000266e+00,2.214647087065817743e+01,2.102302674727293201e-04
2.450000000000000178e+00,2.214668859169473691e+01,2.200632927607336213e-04
2.475000000000000089e+00,2.214688575533890358e+01,2.289678760274784007e-04
2.500000000000000000e+00,2.214706402755864190e+01,2.370192580736805511e-04
2.525000000000000355e+00,2.214722497115513988e+01,2.442880203362316166e-04
2.550000000000000266e+00,2.214737004850342927e+01,2.508402086639610054e-04
2.575000000000000178e+00,2.214750062468433356e+01,2.567374747671016008e-04
2.600000000000000089e+00,2.214761797093638407e+01,2.620372321176042837e-04
2.625000000000000000e+00,2.214772326836141048e+01,2.667928233062560319e-04
2.650000000000000355e+00,2.214781761182316799e+01,2.710536961179932673e-04
2.675000000000000266e+00,2.214790201398359670e+01,2.748655858231525257e-04
2.700000000000000178e+00,2.214797740942692883e+01,2.782707014362345663e-04
2.725000000000000089e+00,2.214804465882685136e+01,2.813079139191941840e-04
2.750000000000000000e+00,2.214810455311725335e+01,2.840129445466268846e-04
2.775000000000000355e+00,2.214815781763174485e+01,2.864185518605766399e-04
2.800000000000000266e+00,2.214820511618195908e+01,2.885547158605834329e-04
2.825000000000000178e+00,2.214824705504883795e+01,2.904488182637632874e-04
2.850000000000000089e+00,2.214828418686539635e+01,2.921258178637010385e-04
2.875000000000000000e+00,2.214831701437299927e+01,2.936084201767460425e-04
2.900000000000000355e+00,2.214834599403689808e+01,2.949172407319752159e-04
2.925000000000000266e+00,2.214837153950989901e+01,2.960709615022856706e-04
2.950000000000000178e+00,2.214839402493581133e+01,2.970864800993919448e-04
2.975000000000000089e+00,2.214841378808709749e+01,2.979790514808180633e-04
3.000000000000000000e+00,2.214843113333334657e+01,2.987624220162934355e-04
