x,p_initial,p_final
4.880000,-1.7295726319e-07,7.3407955952e-06
4.900000,-1.4459010827e-07,5.9511134118e-06
4.920000,-1.1814292059e-07,4.7896288218e-06
4.940000,-9.4343150858e-08,3.8262710334e-06
4.960000,-7.3516836431e-08,3.0331686692e-06
4.980000,-5.5722023436e-08,2.3849504820e-06
5.000000,-4.0848646995e-08,1.8589363257e-06
5.020000,-2.8691373600e-08,1.4351198308e-06
5.040000,-1.9001042180e-08,1.0960937683e-06
5.060000,-1.1519421499e-08,8.2695353341e-07
5.080000,-6.0010823815e-09,6.1508262222e-07
5.100000,-2.2252933873e-09,4.4993049486e-07
5.120000,0.0000000000e+00,3.2280583682e-07
5.140000,8.4086123462e-10,2.2659889960e-07
5.160000,4.4624178188e-10,1.5550889274e-07
5.180000,-1.0366502329e-09,1.0477709511e-07
5.200000,-3.4394173521e-09,7.0351504283e-08
5.220000,-6.5400911844e-09,4.8528301669e-08
5.240000,-1.0018552995e-08,3.5548278757e-08
5.260000,-1.3396072894e-08,2.7086173634e-08
5.280000,-1.5954268120e-08,1.7648811346e-08
5.300000,-1.6627683257e-08,-1.5822264161e-10
5.320000,-1.3863028809e-08,-3.6543169460e-08
5.340000,-5.4369099590e-09,-1.0562929441e-07
5.360000,1.1777312832e-08,-2.2679708140e-07
5.380000,4.2103985976e-08,-4.2629069765e-07
5.400000,9.1432293700e-08,-7.3910540088e-07
5.420000,1.6766794340e-07,-1.2112140940e-06
5.440000,2.8128129252e-07,-1.9021078573e-06
5.460000,4.4596303968e-07,-2.8876274130e-06
5.480000,6.7939680368e-07,-4.2631505234e-06
5.500000,1.0041547750e-06,-6.1470236195e-06
5.520000,1.4487178096e-06,-8.6840842290e-06
5.540000,2.0486144962e-06,-1.2049371227e-05
5.560000,2.8476645175e-06,-1.6451783388e-05
5.580000,3.8992997322e-06,-2.2137265738e-05
5.600000,5.2679215836e-06,-2.9391728346e-05
5.620000,7.0302355519e-06,-3.8543312808e-05
5.640000,9.2764824480e-06,-4.9963163952e-05
5.660000,1.2111462633e-05,-6.4065165945e-05
5.680000,1.5655223275e-05,-8.1304159457e-05
5.700000,2.0043251393e-05,-1.0217127946e-04
5.720000,2.5425987945e-05,-1.2718732842e-04
5.740000,3.1967452323e-05,-1.5689374915e-04
5.760000,3.9842744529e-05,-1.9183941529e-04
5.780000,4.9234176632e-05,-2.3256476512e-04
5.800000,6.0325779109e-05,-2.7958313679e-04
5.820000,7.3295934703e-05,-3.3335754882e-04
5.840000,8.8307916432e-05,-3.9427496860e-04
5.860000,1.0549815108e-04,-4.6261850575e-04
5.880000,1.2496209872e-04,-5.3853668264e-04
5.900000,1.4673773571e-04,-6.2201175599e-04
5.920000,1.7078675577e-04,-7.1282830576e-04
5.940000,1.9697376232e-04,-8.1054331098e-04
5.960000,2.2504391483e-04,-9.1445844752e-04
5.980000,2.5459971026e-04,-1.0235965846e-03
6.000000,2.8507782278e-04,-1.1366866351e-03
6.020000,3.1572718263e-04,-1.2521548277e-03
6.040000,3.4558973854e-04,-1.3681248297e-03
6.060000,3.7348560230e-04,-1.4824334461e-03
6.080000,3.9800450277e-04,-1.5926564861e-03
6.100000,4.1750566019e-04,-1.6961471121e-03
6.120000,4.3012830722e-04,-1.7900935282e-03
6.140000,4.3381510924e-04,-1.8715880414e-03
6.160000,4.2635064876e-04,-1.9377089423e-03
6.180000,4.0541691629e-04,-1.9856179030e-03
6.200000,3.6866737421e-04,-2.0126654553e-03
6.220000,3.1382061728e-04,-2.0165042085e-03
6.240000,2.3877393763e-04,-1.9952043204e-03
6.260000,1.4173621459e-04,-1.9473683725e-03
6.280000,2.1378504330e-05,-1.8722424871e-03
6.300000,-1.2300047441e-04,-1.7698098570e-03
6.320000,-2.9129803766e-04,-1.6408705810e-03
6.340000,-4.8242581653e-04,-1.4871012348e-03
6.360000,-6.9412932485e-04,-1.3110781407e-03
6.380000,-9.2281673309e-04,-1.1162726803e-03
6.400000,-1.1634058116e-03,-9.0700984055e-04
6.420000,-1.4091987931e-03,-6.8838203630e-04
6.440000,-1.6517953492e-03,-4.6612501282e-04
6.460000,-1.8810538978e-03,-2.4644902276e-04
6.480000,-2.0851109842e-03,-3.5832498357e-05
6.500000,-2.2504674626e-03,1.5922107609e-04
6.520000,-2.3621486043e-03,3.3246157412e-04
6.540000,-2.4039430827e-03,4.7818659233e-04
6.560000,-2.3587230511e-03,5.9155472293e-04
6.580000,-2.2088443082e-03,6.6890425777e-04
6.600000,-1.9366219319e-03,7.0805761167e-04
6.620000,-1.5248728885e-03,7.0860954947e-04
6.640000,-9.5751315988e-04,6.7217829648e-04
6.660000,-2.2019305864e-04,6.0260895673e-04
6.680000,6.9904916595e-04,5.0611732592e-04
6.700000,1.8091383783e-03,3.9135736434e-04
6.720000,3.1153435333e-03,2.6940992544e-04
6.740000,4.6187152528e-03,1.5367798940e-04
6.760000,6.3156069901e-03,5.9684803698e-05
6.780000,8.1973058866e-03,4.7756016748e-06
6.800000,1.0249797263e-02,7.7199810387e-06
6.820000,1.2453683245e-02,8.8222953945e-05
6.840000,1.4784271373e-02,2.6635217274e-04
6.860000,1.7211843290e-02,5.6189575102e-04
6.880000,1.9702106982e-02,9.9366519195e-04
6.900000,2.2216828784e-02,1.5787668994e-03
6.920000,2.4714633775e-02,2.3318636760e-03
6.940000,2.7151955667e-02,3.2644506262e-03
6.960000,2.9484110140e-02,4.3841787093e-03
6.980000,3.1666459179e-02,5.6942448626e-03
7.000000,3.3655628766e-02,7.1928862960e-03
7.020000,3.5410738372e-02,8.8729978857e-03
7.040000,3.6894598588e-02,1.0721895329e-02
7.060000,3.8074832868e-02,1.2721254566e-02
7.080000,3.8924880963e-02,1.4847222348e-02
7.100000,3.9424845113e-02,1.7070725660e-02
7.120000,3.9562145367e-02,1.9357969927e-02
7.140000,3.9331957250e-02,2.1671118352e-02
7.160000,3.8737413184e-02,2.3969154153e-02
7.180000,3.7789558142e-02,2.6208878418e-02
7.200000,3.6507059610e-02,2.8346044059e-02
7.220000,3.4915681586e-02,3.0336571343e-02
7.240000,3.3047541605e-02,3.2137807042e-02
7.260000,3.0940178209e-02,3.3709801536e-02
7.280000,2.8635463475e-02,3.5016527140e-02
7.300000,2.6178400877e-02,3.6027026664e-02
7.320000,2.3615852617e-02,3.6716420472e-02
7.340000,2.0995242442e-02,3.7066743105e-02
7.360000,1.8363279866e-02,3.7067586156e-02
7.380000,1.5764749669e-02,3.6716489826e-02
7.400000,1.3241406615e-02,3.6019103140e-02
7.420000,1.0831009934e-02,3.4989069972e-02
7.440000,8.5665253337e-03,3.3647663296e-02
7.460000,6.4755146615e-03,3.2023177341e-02
7.480000,4.5797251836e-03,3.0150080789e-02
7.500000,2.8948821057e-03,2.8067995288e-02
7.520000,1.4306799428e-03,2.5820501625e-02
7.540000,1.9096090972e-04,2.3453846156e-02
7.560000,-8.2593799068e-04,2.1015581194e-02
7.580000,-1.6266928286e-03,1.8553188614e-02
7.600000,-2.2223831884e-03,1.6112754080e-02
7.620000,-2.6277953619e-03,1.3737711944e-02
7.640000,-2.8606695513e-03,1.1467730871e-02
7.660000,-2.9409220275e-03,9.3377562039e-03
7.680000,-2.8898715929e-03,7.3772493184e-03
7.700000,-2.7294969989e-03,5.6096429861e-03
7.720000,-2.4817483790e-03,4.0520132728e-03
7.740000,-2.1679315175e-03,2.7149843324e-03
7.760000,-1.8081791362e-03,1.6028434509e-03
7.780000,-1.4210185973e-03,7.1386163483e-04
7.800000,-1.0230407141e-03,4.0787846550e-05
7.820000,-6.2866995125e-04,-4.2850938158e-04
7.840000,-2.5003234305e-04,-7.1028491804e-04
7.860000,1.0308590552e-04,-8.2408268993e-04
7.880000,4.2319884802e-04,-7.9185923135e-04
7.900000,7.0501193037e-04,-6.3710192424e-04
7.920000,9.4525673161e-04,-3.8397379801e-04
7.940000,1.1424827476e-03,-5.6514663158e-05
7.960000,1.2968195526e-03,3.2207891280e-04
7.980000,1.4097220218e-03,7.3007035585e-04
8.000000,1.4837102022e-03,1.1476908947e-03
8.020000,1.5221139794e-03,1.5575224337e-03
8.040000,1.5288310276e-03,1.9447626154e-03
8.060000,1.5081047479e-03,2.2973681191e-03
