k,|F|
-1.513671875000000000e+01,2.855707382603065779e-07
-1.489257812500000000e+01,9.672331700170814492e-08
-1.464843750000000000e+01,2.272372993544595562e-07
-1.440429687500000000e+01,1.433668747961898827e-07
-1.416015625000000000e+01,1.791236015442509534e-07
-1.391601562500000000e+01,3.962951459178795101e-07
-1.367187500000000000e+01,1.572253048670143992e-07
-1.342773437500000000e+01,2.815419648613092599e-07
-1.318359375000000000e+01,1.662991734655527249e-07
-1.293945312500000000e+01,6.521644835488003699e-07
-1.269531250000000000e+01,5.077132401822980986e-07
-1.245117187500000000e+01,2.373154297169187064e-07
-1.220703125000000000e+01,4.942492323160713389e-07
-1.196289062500000000e+01,1.520648340565226794e-07
-1.171875000000000000e+01,4.717845666417461477e-07
-1.147460937500000000e+01,6.546830328586291694e-07
-1.123046875000000000e+01,1.286697604807118999e-07
-1.098632812500000000e+01,5.598582422637382804e-07
-1.074218750000000000e+01,4.414191888721520905e-07
-1.049804687500000000e+01,2.250867404225995528e-07
-1.025390625000000000e+01,2.962956711622097668e-07
-1.000976562500000000e+01,6.736255300198707200e-07
-9.765625000000000000e+00,1.050692132912442100e-06
-9.521484375000000000e+00,1.223025750465502205e-06
-9.277343750000000000e+00,1.455972477440321097e-06
-9.033203125000000000e+00,1.238021993030849675e-06
-8.789062500000000000e+00,1.075704554492410037e-06
-8.544921875000000000e+00,8.980747393380294413e-07
-8.300781250000000000e+00,6.830843431516286690e-07
-8.056640625000000000e+00,8.966272607693978407e-07
-7.812500000000000000e+00,9.559308874076375166e-07
-7.568359375000000000e+00,8.229324971280850694e-07
-7.324218750000000000e+00,6.855894424106748992e-07
-7.080078125000000000e+00,4.718673380203144255e-07
-6.835937500000000000e+00,5.217629483139156859e-07
-6.591796875000000000e+00,7.234564685948953728e-07
-6.347656250000000000e+00,9.554006887385447024e-07
-6.103515625000000000e+00,1.419913278515876145e-06
-5.859375000000000000e+00,1.369445176343002334e-06
-5.615234375000000000e+00,1.154449967968784620e-06
-5.371093750000000000e+00,1.210647022666854853e-06
-5.126953125000000000e+00,1.106425341498378757e-06
-4.882812500000000000e+00,5.650610041944034792e-07
-4.638671875000000000e+00,4.960664277278735999e-07
-4.394531250000000000e+00,7.733142234539681554e-07
-4.150390625000000000e+00,9.238910645004475444e-07
-3.906250000000000000e+00,9.326146598363577884e-07
-3.662109375000000000e+00,5.962031544862114283e-07
-3.417968750000000000e+00,2.893066153641898004e-07
-3.173828125000000000e+00,7.402455435817786041e-07
-2.929687500000000000e+00,1.439314979393330070e-06
-2.685546875000000000e+00,1.999629626753880909e-06
-2.441406250000000000e+00,2.167516834921522162e-06
-2.197265625000000000e+00,1.859204631566893200e-06
-1.953125000000000000e+00,1.375627298972500056e-06
-1.708984375000000000e+00,1.140392316393503337e-06
-1.464843750000000000e+00,9.516255736078871048e-07
-1.220703125000000000e+00,5.782129600967795804e-07
-9.765625000000000000e-01,3.863844762729795353e-07
-7.324218750000000000e-01,4.741670880422799556e-07
-4.882812500000000000e-01,1.609142267852200787e-06
-2.441406250000000000e-01,3.484280807897722554e-06
0.000000000000000000e+00,1.216324665839617925e-06
2.441406250000000000e-01,3.484280807897722554e-06
4.882812500000000000e-01,1.609142267852199940e-06
7.324218750000000000e-01,4.741670880422796380e-07
9.765625000000000000e-01,3.863844762729794294e-07
1.220703125000000000e+00,5.782129600967795804e-07
1.464843750000000000e+00,9.516255736078871048e-07
1.708984375000000000e+00,1.140392316393503549e-06
1.953125000000000000e+00,1.375627298972499844e-06
2.197265625000000000e+00,1.859204631566893200e-06
2.441406250000000000e+00,2.167516834921521315e-06
2.685546875000000000e+00,1.999629626753880485e-06
2.929687500000000000e+00,1.439314979393329858e-06
3.173828125000000000e+00,7.402455435817787100e-07
3.417968750000000000e+00,2.893066153641899593e-07
3.662109375000000000e+00,5.962031544862108989e-07
3.906250000000000000e+00,9.326146598363580001e-07
4.150390625000000000e+00,9.238910645004479679e-07
4.394531250000000000e+00,7.733142234539673084e-07
4.638671875000000000e+00,4.960664277278733882e-07
4.882812500000000000e+00,5.650610041944030557e-07
5.126953125000000000e+00,1.106425341498378545e-06
5.371093750000000000e+00,1.210647022666854853e-06
5.615234375000000000e+00,1.154449967968784196e-06
5.859375000000000000e+00,1.369445176343002122e-06
6.103515625000000000e+00,1.419913278515876781e-06
6.347656250000000000e+00,9.554006887385442788e-07
6.591796875000000000e+00,7.234564685948959022e-07
6.835937500000000000e+00,5.217629483139156859e-07
7.080078125000000000e+00,4.718673380203143725e-07
7.324218750000000000e+00,6.855894424106746874e-07
7.568359375000000000e+00,8.229324971280858106e-07
7.812500000000000000e+00,9.559308874076370931e-07
8.056640625000000000e+00,8.966272607693982642e-07
8.300781250000000000e+00,6.830843431516289867e-07
8.544921875000000000e+00,8.980747393380288060e-07
8.789062500000000000e+00,1.075704554492410249e-06
9.033203125000000000e+00,1.238021993030850311e-06
9.277343750000000000e+00,1.455972477440319615e-06
9.521484375000000000e+00,1.223025750465501781e-06
9.765625000000000000e+00,1.050692132912442100e-06
1.000976562500000000e+01,6.736255300198710376e-07
1.025390625000000000e+01,2.962956711622106668e-07
1.049804687500000000e+01,2.250867404225994999e-07
1.074218750000000000e+01,4.414191888721523022e-07
1.098632812500000000e+01,5.598582422637376451e-07
1.123046875000000000e+01,1.286697604807122970e-07
1.147460937500000000e+01,6.546830328586290635e-07
1.171875000000000000e+01,4.717845666417460418e-07
1.196289062500000000e+01,1.520648340565233677e-07
1.220703125000000000e+01,4.942492323160712330e-07
1.245117187500000000e+01,2.373154297169179123e-07
1.269531250000000000e+01,5.077132401822977810e-07
1.293945312500000000e+01,6.521644835487995229e-07
1.318359375000000000e+01,1.662991734655527514e-07
1.342773437500000000e+01,2.815419648613093658e-07
1.367187500000000000e+01,1.572253048670143463e-07
1.391601562500000000e+01,3.962951459178794572e-07
1.416015625000000000e+01,1.791236015442508211e-07
1.440429687500000000e+01,1.433668747961899886e-07
1.464843750000000000e+01,2.272372993544598209e-07
1.489257812500000000e+01,9.672331700170826403e-08
