t,E_sum_sq,rel_drift
7.887500000000000000e+01,1.045210864291439669e-06,3.183242482770459736e-01
7.890000000000000568e+01,1.087583193874812125e-06,3.717684588704893711e-01
7.892500000000001137e+01,1.064908062751619750e-06,3.431683206459111846e-01
7.895000000000000284e+01,9.956218615854141609e-07,2.557776493574609455e-01
7.897500000000000853e+01,9.587230825638214540e-07,2.092372269624462044e-01
7.900000000000000000e+01,9.954819625481070141e-07,2.556011947304631104e-01
7.902500000000000568e+01,1.058095150125343579e-06,3.345751953508526721e-01
7.905000000000001137e+01,1.072594805403589823e-06,3.528636075727527577e-01
7.907500000000000284e+01,1.032115425882515986e-06,3.018069745037713636e-01
7.910000000000000853e+01,9.985189132323281652e-07,2.594317000041950760e-01
7.912500000000000000e+01,1.014943419206142695e-06,2.801479260127427429e-01
7.915000000000000568e+01,1.049666865182338941e-06,3.239446012847608247e-01
7.917500000000001137e+01,1.045269793723960521e-06,3.183985759581709485e-01
7.920000000000000284e+01,1.002460198520658627e-06,2.644028423281949425e-01
7.922500000000000853e+01,9.819343619864589073e-07,2.385136089269037363e-01
7.925000000000000000e+01,1.020788690010307845e-06,2.875205648764812549e-01
7.927500000000000568e+01,1.077292727285537585e-06,3.587890954767476992e-01
7.930000000000001137e+01,1.080752749473155469e-06,3.631532207507472965e-01
7.932500000000000284e+01,1.022581344793599615e-06,2.897816399861486980e-01
7.935000000000000853e+01,9.693091196292799631e-07,2.225893933370411970e-01
7.937500000000000000e+01,9.806373263704965122e-07,2.368776581711092566e-01
7.940000000000000568e+01,1.038278166381201323e-06,3.095800378279490728e-01
7.942500000000001137e+01,1.073844008690439604e-06,3.544392274216698890e-01
7.945000000000000284e+01,1.054470058884189997e-06,3.300028685135601436e-01
7.947500000000000853e+01,1.015533878016411820e-06,2.808926715887603565e-01
7.950000000000000000e+01,1.006022672899768857e-06,2.688961905302637567e-01
7.952500000000000568e+01,1.025742249994599670e-06,2.937684890664137849e-01
7.955000000000001137e+01,1.035437545144929244e-06,3.059971628465577020e-01
7.957500000000000284e+01,1.017654826064938674e-06,2.835678229263847716e-01
7.960000000000000853e+01,1.001156399582062367e-06,2.627583609949526444e-01
7.962500000000000000e+01,1.017630421589381757e-06,2.835370415663814314e-01
7.965000000000000568e+01,1.053597844236026974e-06,3.289027443571246878e-01
7.967500000000001137e+01,1.064728902975271796e-06,3.429423464568316371e-01
7.970000000000000284e+01,1.033314567526484263e-06,3.033194516128127627e-01
7.972500000000000853e+01,9.922017905710517581e-07,2.514639144900761014e-01
7.975000000000000000e+01,9.848115223531262928e-07,2.421425707059516874e-01
7.977500000000000568e+01,1.014499385117706641e-06,2.795878659082740580e-01
7.980000000000001137e+01,1.046226749368841957e-06,3.196055839163479129e-01
7.982500000000000284e+01,1.052211588452317248e-06,3.271542602220906537e-01
7.985000000000000853e+01,1.039727791895468079e-06,3.114084501911084102e-01
7.987500000000000000e+01,1.030632470409138696e-06,2.999365230700372087e-01
7.990000000000000568e+01,1.028653526556682092e-06,2.974404815957257808e-01
7.992500000000001137e+01,1.020843777936879549e-06,2.875900472669422614e-01
7.995000000000000284e+01,1.005887364205027167e-06,2.687255257014001253e-01
7.997500000000000853e+01,1.003251147003290636e-06,2.654004654867511692e-01
8.000000000000000000e+01,1.026586837175595062e-06,2.948337667041897592e-01
8.002500000000000568e+01,1.058473574341737318e-06,3.350525017372011360e-01
8.005000000000001137e+01,1.065182883065384633e-06,3.435149514511707247e-01
8.007500000000000284e+01,1.036575781948937023e-06,3.074328206934765495e-01
8.010000000000000853e+01,1.000441917885662834e-06,2.618571853781528902e-01
8.012500000000000000e+01,9.915325154458875167e-07,2.506197579122827479e-01
8.015000000000000568e+01,1.012924462141487199e-06,2.776014158821099587e-01
8.017500000000001137e+01,1.036447317549673933e-06,3.072707885730932009e-01
8.020000000000000284e+01,1.038979788525552897e-06,3.104649936943941202e-01
8.022500000000000853e+01,1.027684351535562424e-06,2.962180613408113561e-01
8.025000000000000000e+01,1.024518742278001197e-06,2.922252790349725848e-01
8.027500000000000568e+01,1.033795076196369009e-06,3.039255170993649391e-01
8.030000000000001137e+01,1.036765974832782458e-06,3.076727109387747405e-01
8.032500000000000284e+01,1.019949746442119861e-06,2.864624055263791380e-01
8.035000000000000853e+01,9.986647244273266469e-07,2.596156116344737197e-01
8.037500000000000000e+01,1.002274372503679160e-06,2.641684600111771641e-01
8.040000000000000568e+01,1.036660245186233172e-06,3.075393541573159251e-01
8.042500000000001137e+01,1.070758010363404367e-06,3.505468583661387472e-01
8.045000000000000284e+01,1.067539500500749442e-06,3.464873525379695840e-01
8.047500000000000853e+01,1.026255936525460337e-06,2.944164017821948587e-01
8.050000000000000000e+01,9.865185825705690828e-07,2.442956854073086437e-01
8.052500000000000568e+01,9.869697397543051361e-07,2.448647298704149655e-01
8.055000000000001137e+01,1.023875157771937165e-06,2.914135260297693875e-01
8.057500000000000284e+01,1.056358669923834967e-06,3.323849732296410564e-01
8.060000000000000853e+01,1.052229040671121096e-06,3.271762727020804395e-01
8.062500000000000000e+01,1.021934144421225346e-06,2.889653262895116592e-01
8.065000000000000568e+01,1.002539744838832081e-06,2.645031740829555389e-01
8.067500000000001137e+01,1.012568009512275519e-06,2.771518222541577425e-01
8.070000000000000284e+01,1.032403675378168391e-06,3.021705435333851275e-01
8.072500000000000853e+01,1.032779429559828540e-06,3.026444822054729644e-01
8.075000000000000000e+01,1.014138519076777636e-06,2.791327056450300104e-01
8.077500000000000568e+01,1.006074643316907652e-06,2.689617408067178639e-01
8.080000000000001137e+01,1.026838795292395004e-06,2.951515614251169484e-01
8.082500000000000284e+01,1.055339245258211045e-06,3.310991731084427236e-01
8.085000000000000853e+01,1.054426534785836855e-06,3.299479715772541399e-01
8.087500000000000000e+01,1.018865775662043219e-06,2.850951934042897373e-01
8.090000000000000568e+01,9.867417423740904331e-07,2.445771568216173475e-01
8.092500000000001137e+01,9.962630262326710771e-07,2.565863501952481696e-01
8.095000000000000284e+01,1.039206754456677897e-06,3.107512657766668962e-01
8.097500000000000853e+01,1.069111796015003997e-06,3.484704885468974944e-01
8.100000000000000000e+01,1.055372387002677666e-06,3.311409747839259010e-01
8.102500000000000568e+01,1.017282392464685725e-06,2.830980725029432765e-01
8.105000000000001137e+01,9.977571640495203434e-07,2.584709059165049005e-01
8.107500000000000284e+01,1.012083419756823629e-06,2.765406092952186201e-01
8.110000000000000853e+01,1.035584379047678283e-06,3.061823644179119119e-01
8.112500000000000000e+01,1.040656194410632851e-06,3.125794440926431550e-01
8.115000000000000568e+01,1.030538299776576574e-06,2.998177456705443111e-01
8.117500000000001137e+01,1.026981562006949379e-06,2.953316330528372724e-01
8.120000000000000284e+01,1.034656507656659020e-06,3.050120404231527194e-01
8.122500000000000853e+01,1.035237587936269489e-06,3.057449568603784473e-01
8.125000000000000000e+01,1.018610388990968268e-06,2.847730742485602429e-01
8.127500000000000568e+01,1.003454657286838345e-06,2.656571529655562536e-01
8.130000000000001137e+01,1.013787784642137883e-06,2.786903243747159142e-01
8.132500000000000284e+01,1.042580114179897992e-06,3.150060837021359528e-01
8.135000000000000853e+01,1.055960523860440822e-06,3.318827916817250201e-01
8.137500000000000000e+01,1.036667668104930642e-06,3.075487166831431529e-01
8.140000000000000568e+01,1.008269073478831842e-06,2.717295751188653630e-01
8.142500000000001137e+01,1.004796444750124665e-06,2.673495492171812371e-01
8.145000000000000284e+01,1.025609057993729846e-06,2.936004940230956262e-01
8.147500000000000853e+01,1.037967212677728552e-06,3.091878319856785629e-01
8.150000000000000000e+01,1.024689600652367283e-06,2.924407826674388922e-01
8.152500000000000568e+01,1.009740712906855208e-06,2.735857536269207246e-01
8.155000000000001137e+01,1.023218668169839594e-06,2.905854958295918666e-01
8.157500000000000284e+01,1.053432848275564261e-06,3.286946349861096794e-01
8.160000000000000853e+01,1.056903550941287764e-06,3.330722315449484161e-01
8.162500000000000000e+01,1.018827363387012042e-06,2.850467440096889349e-01
8.165000000000000568e+01,9.814908988715076048e-07,2.379542689911740283e-01
8.167500000000001137e+01,9.946907006890338997e-07,2.546031763102661327e-01
8.170000000000000284e+01,1.048351264913494348e-06,3.222852349361021718e-01
8.172500000000000853e+01,1.079045557868845046e-06,3.609999403311612287e-01
8.175000000000000000e+01,1.048520461653359922e-06,3.224986427493145014e-01
8.177500000000000568e+01,9.940540918598309281e-07,2.538002217248538361e-01
8.180000000000001137e+01,9.823757099179581772e-07,2.390702809821801944e-01
8.182500000000000284e+01,1.024687408376228073e-06,2.924380175499951551e-01
8.185000000000000853e+01,1.063732729945036469e-06,3.416858736185693357e-01
8.187500000000000000e+01,1.050217513780845391e-06,3.246391342488655352e-01
8.190000000000000568e+01,1.007310736123619014e-06,2.705208244097314085e-01
