time,energy_left,energy_barrier,energy_right
3.85,8.515374381024847,5.421665284183737e-25,1.8101919310529335e-14
3.9,8.611932418001256,7.725899395259328e-25,2.11975050617417e-14
3.95,8.775044384380335,1.0642378037257482e-24,2.4235599438948145e-14
4.0,8.989266210144791,1.4203312095052456e-24,2.7046730734258002e-14
4.05,9.237305613599773,1.8389231051598108e-24,2.9455773935288016e-14
4.1,9.501256599122526,2.310760358787568e-24,3.1308098869170836e-14
4.15,9.763770007855406,2.8171542306982723e-24,3.2507311270363644e-14
4.2,10.009089989828059,3.328240203176092e-24,3.3064695585893583e-14
4.25,10.22390086807336,3.802191111664143e-24,3.3159740245707444e-14
4.3,10.397945944230017,4.186157141533304e-24,3.321102374284382e-14
4.3500000000000005,10.52439799441145,4.41992844863806e-24,3.395319665964841e-14
4.4,10.599979203052047,4.443524512826284e-24,3.6515290515978615e-14
4.45,10.624844884684908,4.210071505215529e-24,4.2491841880610446e-14
4.5,10.602259549738982,3.7053832527902035e-24,5.3997438684929716e-14
4.55,10.538104930575381,2.9755454269728093e-24,7.369214251496717e-14
4.6000000000000005,10.440267028372643,2.1634385389578716e-24,1.0476255213193996e-13
4.65,10.317952888837958,1.554435566471099e-24,1.5084699466108925e-13
4.7,10.180987759558512,1.6303881850205753e-24,2.158874459182496e-13
4.75,10.03913986341162,3.129399781083087e-24,3.0389864208470087e-13
4.8,9.901513779493442,7.10673344812008e-24,4.186513508013214e-13
4.8500000000000005,9.776045038149505,1.49895382439049e-23,5.632653328869766e-13
4.9,9.66911877600895,2.86150026895784e-23,7.397326029468593e-13
4.95,9.585324949160514,5.023829157666166e-23,9.483964712101085e-13
5.0,9.527352422260687,8.249357934895789e-23,1.18742621584135e-12
5.05,9.49601490957584,1.2828924082374655e-22,1.452362511994787e-12
5.1000000000000005,9.490393789873284,1.906175997104863e-22,1.7358075229820277e-12
5.15,9.508076651443702,2.722615838154359e-22,2.0273647247382917e-12
5.2,9.545466285304167,3.7538641508111833e-22,2.3139533073244013e-12
5.25,9.59813281020216,5.010154306103963e-22,2.5806083269016637e-12
5.3,9.661181607057577,6.484066500380439e-22,2.8118996843216603e-12
5.3500000000000005,9.729611556210633,8.143719827877703e-22,2.994072163226816e-12
5.4,9.798641397789154,9.926147651408712e-22,3.117967547329653e-12
5.45,9.863986491530538,1.1732036082273518e-21,3.182753248861911e-12
5.5,9.92207341762165,1.3423501174265283e-21,3.200380560663047e-12
5.55,9.970185310040815,1.4827119983346691e-21,3.2006053782926984e-12
5.6000000000000005,10.006536149333654,1.5744963282221483e-21,3.236280614953007e-12
5.65,10.030277113983601,1.5976826576866037e-21,3.388485404373434e-12
5.7,10.041442219105145,1.5357114603040564e-21,3.770922611294976e-12
5.75,10.040843659943754,1.3809766374726734e-21,4.532869700900657e-12
5.8,10.029929413731272,1.1424049640091599e-21,5.8598815103135455e-12
5.8500000000000005,10.01061670956994,8.552823621440538e-22,7.971362440120997e-12
5.9,9.985115002152195,5.932783579685894e-22,1.1114154231402178e-11
5.95,9.95575119636424,4.823098751880896e-22,1.5551423216550968e-11
6.0,9.924808231099428,7.154632994070823e-22,2.1546317276949368e-11
6.05,9.894385939572585,1.5676594028174243e-21,2.934032177194389e-11
6.1000000000000005,9.866290572954233,3.408114899150343e-21,3.9126758328323276e-11
6.15,9.841956715756423,6.7079646739950365e-21,5.102054002818275e-11
6.2,9.822402730685319,1.203972592543352e-20,6.502625590934981e-11
6.25,9.808218515504997,2.006470947357796e-20,8.100749307944944e-11
6.3,9.799582366551684,3.150415236557503e-20,9.866135168396256e-11
6.3500000000000005,9.796302213560905,4.708993679073431e-20,1.175031207937719e-10
6.4,9.797875466607547,6.749148571902936e-20,1.368667029944162e-10
6.45,9.80356120567222,9.321702260290994e-20,1.5592700157174485e-10
6.5,9.81245841778977,1.2449009335183e-19,1.7375042753663194e-10
6.55,9.823584387207935,1.6110629116296985e-19,1.8937895833845615e-10
6.6000000000000005,9.835948089706699,2.0228064958868028e-19,2.0195192750859406e-10
6.65,9.848614438727683,2.4650320703890815e-19,2.1086720728372857e-10
6.7,9.860756378381865,2.914286416249206e-19,2.159801436075307e-10
6.75,9.87169301916429,3.338352160058712e-19,2.178343184918475e-10
6.8,9.880913177538936,3.696978130108302e-19,2.179128344527536e-10
6.8500000000000005,9.888084735594468,3.944284408470133e-19,2.188930367827152e-10
6.9,9.893051124189464,4.0334365423233813e-19,2.248813607851049e-10
6.95,9.895816914006692,3.9241983325433076e-19,2.415991456335977e-10
7.0,9.89652495464416,3.5939173625938263e-19,2.7648538068370013e-10
7.05,9.895427731327047,3.0523446505845625e-19,3.386792910153316e-10
7.1000000000000005,9.892855626858555,2.36041158216337e-19,4.3884558197492566e-10
7.15,9.88918461051346,1.6526585069078763e-19,5.888084869031692e-10
7.2,9.88480556221241,1.1624124784739943e-19,8.009692586607076e-10
7.25,9.880097021237903,1.2480425642650953e-19,1.0874954048966129e-09
7.3,9.87540266730551,2.417696666859011e-19,1.459289275375457e-09
7.3500000000000005,9.87101433966627,5.348889310717523e-19,1.9247696119928877e-09
7.4,9.867160914409013,1.0898247547492318e-18,2.4885298437525975e-09
7.45,9.864002922196425,2.0095758142303356e-18,3.1499715608787334e-09
7.5,9.861632421586537,3.411716846522471e-18,3.902048324491591e-09
7.55,9.860077361917693,5.422800071340236e-18,4.730288845800654e-09
7.6000000000000005,9.859309481406253,8.169321357258315e-18,5.612298709746965e-09
7.65,9.859254690105617,1.1764818798135818e-17,6.517959037324011e-09
7.7,9.859804876835986,1.629297329846718e-17,7.4105437883417515e-09
7.75,9.860830142299974,2.1787048474682817e-17,8.248962022114471e-09
7.8,9.862190582132236,2.8206661118206084e-17,8.99128855244085e-09
7.8500000000000005,9.863746906543605,3.541372025913742e-17,9.599675031769682e-09
7.9,9.86536937010405,4.315039801531478e-17,1.0046631191972972e-08
7.95,9.866944679578058,5.1023155283318495e-17,1.0322530371910033e-08
8.0,9.868380735044603,5.849805916289253e-17,1.0444031783030066e-08
