x,y,l_z_initial,l_z_final
-2.800000,-0.200000,-5.6318098444e-06,-2.5251477195e-03
-2.800000,-0.100000,-1.4201415565e-06,-2.5943031571e-03
-2.800000,0.000000,0.0000000000e+00,-2.7149378336e-03
-2.800000,0.100000,-1.3955046514e-06,-3.0168757378e-03
-2.800000,0.200000,-5.5827461603e-06,-2.8279838244e-03
-2.800000,0.300000,-1.2490693201e-05,-3.0743143401e-03
-2.800000,0.400000,-2.2003855447e-05,-3.1449023935e-03
-2.800000,0.500000,-3.3966520620e-05,-2.4679788498e-03
-2.800000,0.600000,-4.8188284001e-05,-2.9904791942e-03
-2.800000,0.700000,-6.4450518488e-05,-1.0593225094e-03
-2.800000,0.800000,-8.2513397648e-05,-2.1585242914e-05
-2.800000,0.900000,-1.0212308374e-04,2.9399602546e-03
-2.800000,1.000000,-1.2301872368e-04,5.9744226958e-03
-2.800000,1.100000,-1.4493895101e-04,6.2932104058e-03
-2.800000,1.200000,-1.6762766289e-04,5.1914692756e-03
-2.800000,1.300000,-1.9083891766e-04,1.3022818346e-03
-2.800000,1.400000,-2.1434087380e-04,-1.6390350445e-03
-2.800000,1.500000,-2.3791875791e-04,-1.7883068366e-03
-2.800000,1.600000,-2.6137690374e-04,2.7247258166e-03
-2.800000,1.700000,-2.8453994481e-04,1.6045445075e-02
-2.800000,1.800000,-3.0725326947e-04,2.5782420649e-02
-2.800000,1.900000,-3.2938286047e-04,1.8215575699e-02
-2.800000,2.000000,-3.5081464433e-04,8.4431446120e-03
-2.800000,2.100000,-3.7145347031e-04,8.2000653786e-03
-2.800000,2.200000,-3.9122182802e-04,1.8082840191e-02
-2.800000,2.300000,-4.1005839895e-04,2.7350490173e-02
-2.800000,2.400000,-4.2791652136e-04,3.3116149451e-02
-2.800000,2.500000,-4.4476263272e-04,-1.7240468909e-02
-2.800000,2.600000,-4.6057473907e-04,-2.1374797120e-02
-2.800000,2.700000,-4.7534094789e-04,1.6370176944e-02
-2.800000,2.800000,-4.8905808965e-04,4.6278661613e-02
-2.800000,2.900000,-5.0173044389e-04,1.9771570068e-03
-2.800000,3.000000,-5.1336857858e-04,-8.4593114721e-03
