x,psi_1,psi_2,psi_3,psi_4,psi_5
3.2800000000e+01,1.7866657167e-01,-1.5277960548e-01,-4.8023174673e-02,1.9384471135e-01,-1.1773541267e-01
3.2900000000e+01,1.7814470769e-01,-1.5430674352e-01,-4.4486114035e-02,1.9284006555e-01,-1.2254956680e-01
3.3000000000e+01,1.7761613666e-01,-1.5581064353e-01,-4.0933979881e-02,1.9171926010e-01,-1.2724838156e-01
3.3100000000e+01,1.7708087849e-01,-1.5729107904e-01,-3.7367975805e-02,1.9048297014e-01,-1.3182743460e-01
3.3200000000e+01,1.7653895332e-01,-1.5874782708e-01,-3.3789310098e-02,1.8913194036e-01,-1.3628241628e-01
3.3300000000e+01,1.7599038157e-01,-1.6018066828e-01,-3.0199195342e-02,1.8766698457e-01,-1.4060913371e-01
3.3400000000e+01,1.7543518387e-01,-1.6158938687e-01,-2.6598848000e-02,1.8608898521e-01,-1.4480351475e-01
3.3500000000e+01,1.7487338113e-01,-1.6297377069e-01,-2.2989488000e-02,1.8439889280e-01,-1.4886161178e-01
3.3600000000e+01,1.7430499452e-01,-1.6433361126e-01,-1.9372338324e-02,1.8259772540e-01,-1.5277960548e-01
3.3700000000e+01,1.7373004542e-01,-1.6566870379e-01,-1.5748624594e-02,1.8068656795e-01,-1.5655380837e-01
3.3800000000e+01,1.7314855548e-01,-1.6697884722e-01,-1.2119574657e-02,1.7866657167e-01,-1.6018066828e-01
3.3900000000e+01,1.7256054659e-01,-1.6826384425e-01,-8.4864181670e-03,1.7653895332e-01,-1.6365677176e-01
3.4000000000e+01,1.7196604090e-01,-1.6952350137e-01,-4.8503861694e-03,1.7430499452e-01,-1.6697884722e-01
3.4100000000e+01,1.7136506078e-01,-1.7075762887e-01,-1.2127106845e-03,1.7196604090e-01,-1.7014376803e-01
3.4200000000e+01,1.7075762887e-01,-1.7196604090e-01,2.4253757111e-03,1.6952350137e-01,-1.7314855548e-01
3.4300000000e+01,1.7014376803e-01,-1.7314855548e-01,6.0626403010e-03,1.6697884722e-01,-1.7599038157e-01
3.4400000000e+01,1.6952350137e-01,-1.7430499452e-01,9.6978506476e-03,1.6433361126e-01,-1.7866657167e-01
3.4500000000e+01,1.6889685225e-01,-1.7543518387e-01,1.3329775009e-02,1.6158938687e-01,-1.8117460705e-01
3.4600000000e+01,1.6826384425e-01,-1.7653895332e-01,1.6957182758e-02,1.5874782708e-01,-1.8351212723e-01
3.4700000000e+01,1.6762450122e-01,-1.7761613666e-01,2.0578844796e-02,1.5581064353e-01,-1.8567693221e-01
3.4800000000e+01,1.6697884722e-01,-1.7866657167e-01,2.4193533972e-02,1.5277960548e-01,-1.8766698457e-01
3.4900000000e+01,1.6632690656e-01,-1.7969010014e-01,2.7800025498e-02,1.4965653871e-01,-1.8948041134e-01
3.5000000000e+01,1.6566870379e-01,-1.8068656795e-01,3.1397097363e-02,1.4644332444e-01,-1.9111550577e-01
3.5100000000e+01,1.6500426368e-01,-1.8165582502e-01,3.4983530748e-02,1.4314189818e-01,-1.9257072898e-01
3.5200000000e+01,1.6433361126e-01,-1.8259772540e-01,3.8558110439e-02,1.3975424859e-01,-1.9384471135e-01
3.5300000000e+01,1.6365677176e-01,-1.8351212723e-01,4.2119625239e-02,1.3628241628e-01,-1.9493625387e-01
3.5400000000e+01,1.6297377069e-01,-1.8439889280e-01,4.5666868376e-02,1.3272849252e-01,-1.9584432921e-01
3.5500000000e+01,1.6228463374e-01,-1.8525788859e-01,4.9198637916e-02,1.2909461809e-01,-1.9656808273e-01
3.5600000000e+01,1.6158938687e-01,-1.8608898521e-01,5.2713737165e-02,1.2538298189e-01,-1.9710683324e-01
3.5700000000e+01,1.6088805625e-01,-1.8689205752e-01,5.6210975082e-02,1.2159581967e-01,-1.9746007370e-01
3.5800000000e+01,1.6018066828e-01,-1.8766698457e-01,5.9689166673e-02,1.1773541267e-01,-1.9762747165e-01
3.5900000000e+01,1.5946724961e-01,-1.8841364967e-01,6.3147133402e-02,1.1380408627e-01,-1.9760886955e-01
