step,time,signal_before,signal_after
45,2.25,0.001210980796821953,1.2511690642321706e-09
46,2.3000000000000003,0.0013694610394380006,1.2649214163746143e-09
47,2.35,0.0015261320431096334,1.2774352949580437e-09
48,2.4000000000000004,0.0016809665067271122,1.2887513612927189e-09
49,2.45,0.0018339379075104159,1.2989096331816876e-09
50,2.5,0.0019850205028198588,1.3079494859657316e-09
51,2.5500000000000003,0.0021341893316929555,1.315909653900528e-09
52,2.6,0.0022814202161091754,1.3228282318531483e-09
53,2.6500000000000004,0.00242668976198432,1.3287426773052342e-09
54,2.7,0.0025699753598963366,1.3336898126503946e-09
55,2.75,0.002711255185544471,1.337705827773583e-09
56,2.8000000000000003,0.00285050819994374,1.3408262829004238e-09
57,2.85,0.0029877141493567906,1.3430861117046664e-09
58,2.9000000000000004,0.003122853564965292,1.3445196246621572e-09
59,2.95,0.003255907762283078,1.3451605126399293e-09
60,3.0,0.003386858840313346,1.345041850709218e-09
61,3.0500000000000003,0.0035156896804522868,1.34419610217142e-09
62,3.1,0.003642383945141596,1.3426551227862234e-09
63,3.1500000000000004,0.0037669260762723867,1.3404501651913391e-09
64,3.2,0.0038893012933431032,1.3376118835034743e-09
65,3.25,0.004009495591374093,1.3341703380903926e-09
66,3.3000000000000003,0.004127495738581575,1.33015500050411e-09
67,3.35,0.004243289273813796,1.3255947585654782e-09
68,3.4000000000000004,0.00435686450375224,1.3205179215906087e-09
69,3.45,0.004468210499880817,1.3149522257497947e-09
70,3.5,0.004577317095226021,1.3089248395497833e-09
71,3.5500000000000003,0.0046841748808710984,1.3024623694304494e-09
72,3.6,0.004788775202247336,1.2955908654671224e-09
73,3.6500000000000004,0.004891110155205633,1.2883358271700064e-09
74,3.7,0.004991172581871564,1.280722209372333e-09
75,3.75,0.0050889560662872235,1.272774428199075e-09
76,3.8000000000000003,0.005184454929843147,1.264516367108238e-09
77,3.85,0.0052776642265037026,1.2559713829969414e-09
78,3.9000000000000004,0.005368579737829365,1.2471623123646772e-09
79,3.95,0.005457197967799334,1.2381114775263302e-09
80,4.0,0.005543516137438014,1.228840692867719e-09
81,4.05,0.005627532179248911,1.219371271136601e-09
82,4.1000000000000005,0.005709244731459534,1.2097240297622642e-09
83,4.15,0.0057886531320809455,1.1999192971970058e-09
84,4.2,0.005865757412785628,1.1899769192729715e-09
85,4.25,0.005940558292607376,1.1799162655680055e-09
86,4.3,0.006013057171466963,1.16975623577433e-09
87,4.3500000000000005,0.006083256123527349,1.159515266064045e-09
88,4.4,0.006151157890382254,1.1492113354456056e-09
89,4.45,0.006216765874081907,1.1388619721055965e-09
90,4.5,0.006280084129999864,1.1284842597302946e-09
91,4.55,0.0063411173595447675,1.1180948438016622e-09
92,4.6000000000000005,0.0063998709027209616,1.1077099378625804e-09
93,4.65,0.006456350730541909,1.097345329746286e-09
94,4.7,0.006510563437300357,1.08701638776513e-09
95,4.75,0.006562516232699239,1.076738066853931e-09
96,4.800000000000001,0.006612216933847294,1.0665249146633477e-09
97,4.8500000000000005,0.0066596739571234236,1.056391077598839e-09
98,4.9,0.006704896309913801,1.0463503068009368e-09
99,4.95,0.006747893582225778,1.0364159640626906e-09
100,5.0,0.006788675938182619,1.0266010276802942e-09
101,5.050000000000001,0.006827254107403144,1.0169180982330411e-09
102,5.1000000000000005,0.006863639376270311,1.007379404288896e-09
103,5.15,0.006897843579092835,9.979968080321058e-10
104,5.2,0.006929879089163896,9.887818108094094e-10
105,5.25,0.0069597588097210185,9.797455585915367e-10
106,5.300000000000001,0.006987496164811204,9.7089884734682e-10
107,5.3500000000000005,0.0070131050900653765,9.62252128323868e-10
108,5.4,0.007036600023386231,9.538155132403839e-10
