t,projection
2.29750000,-1.0857802519e-01
2.30000000,-1.3269273191e-01
2.30250000,-1.5647833315e-01
2.30500000,-1.7987583566e-01
2.30750000,-2.0282720880e-01
2.31000000,-2.2527552840e-01
2.31250000,-2.4716511796e-01
2.31500000,-2.6844168678e-01
2.31750000,-2.8905246453e-01
2.32000000,-3.0894633223e-01
2.32250000,-3.2807394895e-01
2.32500000,-3.4638787424e-01
2.32750000,-3.6384268576e-01
2.33000000,-3.8039509197e-01
2.33250000,-3.9600403945e-01
2.33500000,-4.1063081479e-01
2.33750000,-4.2423914055e-01
2.34000000,-4.3679526526e-01
2.34250000,-4.4826804712e-01
2.34500000,-4.5862903126e-01
2.34750000,-4.6785252028e-01
2.35000000,-4.7591563803e-01
2.35250000,-4.8279838629e-01
2.35500000,-4.8848369443e-01
2.35750000,-4.9295746170e-01
2.36000000,-4.9620859222e-01
2.36250000,-4.9822902253e-01
2.36500000,-4.9901374154e-01
2.36750000,-4.9856080297e-01
2.37000000,-4.9687133022e-01
2.37250000,-4.9394951352e-01
2.37500000,-4.8980259959e-01
2.37750000,-4.8444087363e-01
2.38000000,-4.7787763383e-01
2.38250000,-4.7012915840e-01
2.38500000,-4.6121466515e-01
2.38750000,-4.5115626388e-01
2.39000000,-4.3997890151e-01
2.39250000,-4.2771030021e-01
2.39500000,-4.1438088867e-01
2.39750000,-4.0002372659e-01
2.40000000,-3.8467442270e-01
2.40250000,-3.6837104647e-01
2.40500000,-3.5115403364e-01
2.40750000,-3.3306608599e-01
2.41000000,-3.1415206536e-01
2.41250000,-2.9445888246e-01
2.41500000,-2.7403538047e-01
2.41750000,-2.5293221390e-01
2.42000000,-2.3120172298e-01
2.42250000,-2.0889780384e-01
2.42500000,-1.8607577482e-01
2.42750000,-1.6279223930e-01
2.43000000,-1.3910494525e-01
2.43250000,-1.1507264210e-01
2.43500000,-9.0754934922e-02
2.43750000,-6.6212136687e-02
2.44000000,-4.1505118621e-02
2.44250000,-1.6695159254e-02
2.44500000,8.1562075709e-03
2.44750000,3.2987345309e-02
2.45000000,5.7736667590e-02
2.45250000,8.2342790961e-02
2.45500000,1.0674468713e-01
2.45750000,1.3088183434e-01
2.46000000,1.5469436746e-01
2.46250000,1.7812322647e-01
2.46500000,2.0111030293e-01
2.46750000,2.2359858413e-01
2.47000000,2.4553229447e-01
2.47250000,2.6685703380e-01
2.47500000,2.8751991234e-01
2.47750000,3.0746968187e-01
2.48000000,3.2665686282e-01
2.48250000,3.4503386701e-01
2.48500000,3.6255511565e-01
2.48750000,3.7917715241e-01
2.49000000,3.9485875120e-01
2.49250000,4.0956101839e-01
2.49500000,4.2324748932e-01
2.49750000,4.3588421870e-01
2.50000000,4.4743986481e-01
2.50250000,4.5788576727e-01
2.50500000,4.6719601806e-01
2.50750000,4.7534752584e-01
2.51000000,4.8232007316e-01
2.51250000,4.8809636668e-01
2.51500000,4.9266207998e-01
2.51750000,4.9600588915e-01
2.52000000,4.9811950085e-01
2.52250000,4.9899767288e-01
2.52500000,4.9863822719e-01
2.52750000,4.9704205529e-01
2.53000000,4.9421311601e-01
2.53250000,4.9015842570e-01
